date,count,unique
2023-12-06 00:00:00+00:00,13,6
2023-12-07 00:00:00+00:00,21,8
2023-12-08 00:00:00+00:00,70,12
2023-12-09 00:00:00+00:00,9,7
2023-12-10 00:00:00+00:00,3,3
2023-12-11 00:00:00+00:00,144,17
2023-12-12 00:00:00+00:00,32,7
2023-12-13 00:00:00+00:00,48,11
2023-12-14 00:00:00+00:00,43,11
2023-12-15 00:00:00+00:00,37,10
2023-12-16 00:00:00+00:00,3,3
2023-12-18 00:00:00+00:00,41,14
2023-12-19 00:00:00+00:00,34,13
2023-12-20 00:00:00+00:00,1,1
2023-12-21 00:00:00+00:00,23,6
2023-12-22 00:00:00+00:00,30,9
2023-12-23 00:00:00+00:00,3,3
2023-12-24 00:00:00+00:00,1,1
2023-12-25 00:00:00+00:00,2,2
2023-12-27 00:00:00+00:00,15,4
2023-12-28 00:00:00+00:00,17,5
2023-12-29 00:00:00+00:00,4,2
2023-12-30 00:00:00+00:00,2,2
2024-01-01 00:00:00+00:00,2,2
2024-01-02 00:00:00+00:00,26,6
2024-01-03 00:00:00+00:00,26,4
2024-01-04 00:00:00+00:00,5,2
2024-01-05 00:00:00+00:00,10,3
2024-01-06 00:00:00+00:00,2,1
2024-01-07 00:00:00+00:00,2,1
2024-01-08 00:00:00+00:00,72,13
2024-01-09 00:00:00+00:00,3,3
2024-01-10 00:00:00+00:00,46,7
2024-01-12 00:00:00+00:00,4,4
2024-01-13 00:00:00+00:00,1,1
2024-01-14 00:00:00+00:00,2,2
2024-01-15 00:00:00+00:00,3,3
2024-01-16 00:00:00+00:00,2,1
2024-01-17 00:00:00+00:00,8,3
2024-01-18 00:00:00+00:00,9,3
2024-01-19 00:00:00+00:00,4,3
2024-01-20 00:00:00+00:00,1,1
2024-01-21 00:00:00+00:00,1,1
2024-01-22 00:00:00+00:00,2,2
2024-01-23 00:00:00+00:00,4,2
2024-01-24 00:00:00+00:00,8,4
2024-01-25 00:00:00+00:00,7,4
2024-01-26 00:00:00+00:00,23,2
2024-01-27 00:00:00+00:00,42,6
2024-01-28 00:00:00+00:00,3,2
2024-01-29 00:00:00+00:00,4,3
2024-01-30 00:00:00+00:00,2,2
2024-01-31 00:00:00+00:00,8,4
2024-02-02 00:00:00+00:00,30,7
2024-02-03 00:00:00+00:00,1,1
2024-02-04 00:00:00+00:00,4,2
2024-02-05 00:00:00+00:00,18,7
2024-02-06 00:00:00+00:00,11,2
